Ship State,Trump,Clinton
AL,"1,318,255","729,547"
AK,"163,387","116,454"
AZ,"1,252,401","1,161,167"
AR,"684,872","380,494"
CA,"4,483,814","8,753,792"
CO,"1,202,484","1,338,870"
CT,"673,215","897,572"
DE,"185,127","235,603"
DC,"12,723","282,830"
FL,"4,617,886","4,504,975"
GA,"2,089,104","1,877,963"
HI,"128,847","266,891"
ID,"409,055","189,765"
IL,"2,146,015","3,090,729"
IN,"1,557,286","1,033,126"
IA,"800,983","653,669"
KS,"671,018","427,005"
KY,"1,202,971","628,854"
LA,"1,178,638","780,154"
ME,"335,593","357,735"
MD,"943,169","1,677,928"
MA,"1,090,893","1,995,196"
MI,"2,279,543","2,268,839"
MN,"1,322,951","1,367,716"
MS,"700,714","485,131"
MO,"1,594,511","1,071,068"
MT,"279,240","177,709"
NE,"495,961","284,494"
NV,"512,058","539,260"
NH,"345,790","348,526"
NJ,"1,601,933","2,148,278"
NM,"319,667","385,234"
NY,"2,819,533","4,556,118"
NC,"2,362,631","2,189,316"
ND,"216,794","93,758"
OH,"2,841,005","2,394,164"
OK,"949,136","420,375"
OR,"782,403","1,002,106"
PA,"2,970,733","2,926,441"
RI,"180,543","252,525"
SC,"1,155,389","855,373"
SD,"227,721","117,458"
TN,"1,522,925","870,695"
TX,"4,685,047","3,877,868"
UT,"515,231","310,676"
VT,"95,369","178,573"
VA,"1,769,443","1,981,473"
WA,"1,221,747","1,742,718"
WV,"489,371","188,794"
WI,"1,405,284","1,382,536"
WY,"174,419","55,973"
